package,hyperparams_path,locked,optimizer,class_weighting,forbidden_sweeps,ood_use,schema_version,must_match_v11c_scratch_four_head_except_split_regime,architecture,init,loss,lr,head_lr,weight_decay,batch_size,max_epochs,early_stopping_metric,patience,sampling_gap_s,image_size,early_stopping_patience,seed,guard_gap_s,image_encoder,fusion_method,fusion_op,num_workers,resource_monitor_sample_interval_s,caxton_dkd_warmup_source_checkpoint,warmup_epochs,lr_schedule,prefetch_factor,domain_lr,adv_lambda,adv_gamma
,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\configs\v11b_hyperparameters.json,True,AdamW,balanced_by_train_tension_counts_for_tension_loss_only,No hyperparameter sweep in required v11b. Do not change hidden_dim/dropout/lr/epochs using internal_ood.,final evaluation only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\configs\v11c_hyperparameters.json,,,,,,v11c_hyperparameters_v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11d_0p4_scratch_four_head_build\configs\v11d_hyperparameters.json,,,,,,v11d_hyperparameters_v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\configs\v11e_hyperparameters.json,,AdamW,,,,v11e_two_contrast_hyperparameters_v1,True,scratch_four_head,random_no_task_checkpoint,sum_ce_speed_flow_temp_tension,0.0001,0.001,0.0001,128.0,100.0,id_val.tension_balanced_accuracy_present,15.0,1.0,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\v11e_handoff_results\configs_and_scripts\v11e_hyperparameters.json,,AdamW,,,,v11e_two_contrast_hyperparameters_v1,True,scratch_four_head,random_no_task_checkpoint,sum_ce_speed_flow_temp_tension,0.0001,0.001,0.0001,128.0,100.0,id_val.tension_balanced_accuracy_present,15.0,1.0,,,,,,,,,,,,,,,,
v11f_mobilenet_nature_transfer_64audit_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11f_mobilenet_nature_transfer_64audit_package\configs\v11f_hyperparameters.json,,AdamW,,,,v11f_hyperparameters_v1,,,,four_head_ce_sum,0.0001,0.001,0.0001,128.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,,,,,,,,,,,,,,
v11f_mobilenet_teacher_distill_64audit_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11f_mobilenet_teacher_distill_64audit_package\configs\v11f_hyperparameters.json,,AdamW,,,,v11f_hyperparameters_teacher_distill_v1,,,,four_head_ce_sum,0.0001,0.001,0.0001,128.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,,,,,,,,,,,,,,
v11f_transfer_64audit_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11f_transfer_64audit_package\configs\v11f_hyperparameters.json,,AdamW,,,,v11f_hyperparameters_v1,,,,ce_speed + ce_flow + ce_temp + ce_tension,0.0001,0.001,0.0001,128.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,1.0,4.0,MobileNetV3-small,hadamard,elementwise_multiply,,,,,,,,,
v11g_loss_followup_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11g_loss_followup_package\configs\v11g_hyperparameters.json,,AdamW,,,,v11g_loss_followup_hyperparameters_v1,,,,,0.0001,0.001,0.0001,256.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,,,,,,,,,,,,,,
v12_fusion_comparison_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v12_fusion_comparison_package\configs\v12_hyperparameters.json,,AdamW,,,,v12_hyperparameters_v1,,,,CE_speed + CE_flow + CE_temp + CE_tension,0.0001,0.001,0.0001,256.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,,4.0,,,,0.0,5.0,C:\Users\EM328 Super\Desktop\caxton-new-codex\v10\source_ckpts\dkd_offline_student_backbone.pt,,,,,,
v13_moco_fusion_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v13_moco_fusion_package\configs\v13_hyperparameters.json,,AdamW,,,,v13_hyperparameters_v1,,,,CE_speed + CE_flow + CE_temp + CE_tension,0.0001,0.001,0.0001,256.0,100.0,id_val.tension_balanced_accuracy_present,,1.0,224.0,15.0,,4.0,,,,0.0,5.0,,5.0,cosine_with_linear_warmup,8.0,,,
v13c_domain_adversarial_package,C:\Users\EM328 Super\Desktop\caxton-new-codex\v13c_domain_adversarial_package\configs\v13c_hyperparameters.json,,AdamW,,,,v13c_hyperparameters_v1,,,,,0.0001,0.001,0.0001,256.0,100.0,,,1.0,224.0,15.0,,4.0,,,,0.0,5.0,,5.0,cosine_with_linear_warmup,,0.001,0.1,10.0
