package,run_id,fusion_method,image_encoder_init,regime,stage,seed,source_family,training_mode,loss_scope,architecture_family,selection_subset,used_internal_holdout_for_selection,config_path
v11b_complete_l27_codex_package_v2,p0_linear_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_linear_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p0_linear_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_linear_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p0_linear_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_linear_seed3\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p0_mlp_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_mlp_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p0_mlp_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_mlp_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p0_mlp_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p0_mlp_seed3\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_linear_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_linear_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_linear_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_linear_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_linear_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_linear_seed3\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_mlp_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_mlp_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_mlp_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_mlp_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,p5_mlp_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\p5_mlp_seed3\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_linear_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_linear_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_linear_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_linear_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_linear_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_linear_seed3\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_mlp_seed1,,,,,1.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_mlp_seed1\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_mlp_seed2,,,,,2.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_mlp_seed2\run_config_resolved.json
v11b_complete_l27_codex_package_v2,random_mlp_seed3,,,,,3.0,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11b_complete_l27_codex_package_v2\runs\v11b_balanced_l27\random_mlp_seed3\run_config_resolved.json
v11c_v5_build,nature_finetune_tension_only_seed1,,,,,1.0,nature_source,finetune,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_finetune_tension_only_seed1\run_config_resolved.json
v11c_v5_build,nature_finetune_tension_only_seed2,,,,,2.0,nature_source,finetune,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_finetune_tension_only_seed2\run_config_resolved.json
v11c_v5_build,nature_finetune_tension_only_seed3,,,,,3.0,nature_source,finetune,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_finetune_tension_only_seed3\run_config_resolved.json
v11c_v5_build,nature_frozen_linear_seed1,,,,,1.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_linear_seed1\run_config_resolved.json
v11c_v5_build,nature_frozen_linear_seed2,,,,,2.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_linear_seed2\run_config_resolved.json
v11c_v5_build,nature_frozen_linear_seed3,,,,,3.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_linear_seed3\run_config_resolved.json
v11c_v5_build,nature_frozen_mlp_seed1,,,,,1.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_mlp_seed1\run_config_resolved.json
v11c_v5_build,nature_frozen_mlp_seed2,,,,,2.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_mlp_seed2\run_config_resolved.json
v11c_v5_build,nature_frozen_mlp_seed3,,,,,3.0,nature_source,frozen_probe,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\nature_frozen_mlp_seed3\run_config_resolved.json
v11c_v5_build,random_frozen_linear_seed1,,,,,1.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_linear_seed1\run_config_resolved.json
v11c_v5_build,random_frozen_linear_seed2,,,,,2.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_linear_seed2\run_config_resolved.json
v11c_v5_build,random_frozen_linear_seed3,,,,,3.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_linear_seed3\run_config_resolved.json
v11c_v5_build,random_frozen_mlp_seed1,,,,,1.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed1\run_config_resolved.json
v11c_v5_build,random_frozen_mlp_seed2,,,,,2.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed2\run_config_resolved.json
v11c_v5_build,random_frozen_mlp_seed3,,,,,3.0,random,frozen_random_control,tension_only,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed3\run_config_resolved.json
v11c_v5_build,scratch_four_head_seed1,,,,,1.0,scratch,train_from_scratch,four_head_sum_ce,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed1\run_config_resolved.json
v11c_v5_build,scratch_four_head_seed2,,,,,2.0,scratch,train_from_scratch,four_head_sum_ce,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed2\run_config_resolved.json
v11c_v5_build,scratch_four_head_seed3,,,,,3.0,scratch,train_from_scratch,four_head_sum_ce,,id_val,False,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed3\run_config_resolved.json
