package,run_id,stage,fusion_method,image_encoder_init,regime,seed,selected_epoch,selection_subset,id_val_avg4_balanced_accuracy,id_test_avg4_balanced_accuracy,internal_holdout_avg4_balanced_accuracy,internal_holdout_param_ood_avg4_balanced_accuracy,internal_holdout_geom_ood_avg4_balanced_accuracy,internal_holdout_tension_balanced_accuracy,internal_holdout_param_ood_tension_balanced_accuracy,internal_holdout_geom_ood_tension_balanced_accuracy
v15c_dualenc_package,v15c_dualenc_seed1,stage_a,vit_dual,dinov2_dual,include64_train_only,1.0,17,id_val,0.7304743675291179,0.8400332937275171,0.786281330996777,0.7676768392205067,0.808306188310996,0.34868648807262,0.364158720058229,0.33203990377764286
v22_se_attention_package,v22_SE_cls_seed1,stage_a,vit_dual,dinov2_dual,include64_train_only,1.0,26,id_val,0.6861717604567273,0.8356167886499959,0.7547121041635823,0.7249714281530029,0.7898233925332975,0.3381960864486109,0.33889195818846657,0.33738920540738376
v18_dinov2_augmentation_package,v18_mixup_seed1,stage_a,vit_dual,dinov2_dual,include64_train_only,1.0,20,id_val,0.686688293969602,0.8558262211769825,0.7190270863434514,0.7194392383748983,0.7198724441553443,0.3641677302067141,0.3864102376487411,0.3402850147633851
v17_caxton_adapted_package,v17_6blk_seed2,stage_a,vit_dual,dinov3_truncated_6blk,include64_train_only,2.0,31,id_val,0.7116495470034688,0.8045535364962259,0.7027146098319549,0.6806106492320971,0.7284994746465697,0.3532233380545358,0.34254690478950495,0.3645794704918201
v19_flow_targeted_aug_package,v19_F1_seed1,stage_a,vit_dual,dinov2_dual,include64_train_only,1.0,16,id_val,0.5909847652069131,0.7873460458684428,0.6698787660231951,0.6549331501589516,0.6875200343994209,0.3483702244109865,0.369286149429398,0.32599352119728003
v20_arch_gradcam_study_package,v20_2branch_noseq_seed1,stage_a,vit_dual,dinov2_dual,include64_train_only,1.0,36,id_val,0.5521440366696554,0.7567861130653093,0.6517547225609355,0.6552567327582256,0.6453090880451363,0.34419173158571054,0.36863770508470584,0.3180591200948522
v16_dinov3_package,v16_lite_dinov3_6blk_seed1,stage_a,vit_dual,dinov3_truncated_6blk,include64_train_only,1.0,23,id_val,0.6589173310258335,0.7092814325880286,0.6271068429294924,0.6036946542185779,0.6544244838624244,0.3718662677890762,0.3527858689447447,0.3922648401794135
v24_shallow_wide_package,v17_5blk_seqaux_sgd_seed1,stage_a,vit_dual,dinov3_truncated_5blk_seqaux,include64_train_only,1.0,60,id_val,0.7383974693576935,0.7191150544616819,0.5892385618112078,0.5531228891214786,0.6251791309510656,0.5206690873595919,0.5398830542052008,0.49996388230885697
v14_seqnorm_flowimage_package,v14_tcnonly_instanorm_seed1,stage_a,tcnonly,scratch,include64_train_only,1.0,75,id_val,0.6843953217139023,0.673374701082412,0.5221579180756385,,,0.05535448654263873,,
v15_dinov2_vit_package,v15_dinov2_vit_seed1,stage_a,vit,dinov2_pretrained,include64_train_only,1.0,48,id_val,0.8528188793380698,0.7834908863363504,0.5125938738252807,,,0.47802393004584776,,
v13d_clean_data_package,v13d_gmu_moco_pretrained_include64train_seed3,stage_a,gmu,moco_pretrained,include64_train_only,3.0,44,id_val,0.9410684406185187,0.8872623589467201,0.5119380464447809,,,0.6484403153023363,,
v23_dinov2_vitl_ceiling_package,v23_dinov2_vitl_ceiling_seed1,stage_a,vit_dual,dinov2_vitl_dual,include64_train_only,1.0,22,id_val,0.6244016943336042,0.5896195974314944,0.5048002032247817,0.4803524059379524,0.5301353193931825,0.32728714112514373,0.3297086686611633,0.3246129509880176
v15b_ablation_package,v15b_normonly_caxton_seed1,stage_a,vit,dinov2_norm_only,include64_train_only,1.0,44,id_val,0.8517081146860762,0.7895160035115554,0.5019907128878562,,,0.4604866974623525,,
v12_fusion_comparison_package,v12_hadamard_scratch_include64train_seed1,stage_1a,hadamard,scratch,include64_train_only,1.0,21,id_val,0.909498112328489,0.8728745385632624,0.47018731689763477,,,0.743174381355398,,
v14c_seqaug_imgaug_package,v14c_seqaug_imgaug_seed1,stage_a,aonly,moco_pretrained,include64_train_only,1.0,72,id_val,0.9512228010210211,0.9132452349928865,0.45760172689804923,,,0.6755033784588481,,
v14a_caxton_augment_package,v14a_caxton_augment_seed1,stage_a,caxton,moco_pretrained,include64_train_only,1.0,23,id_val,0.8532570894283046,0.8139053725622002,0.43766247115785784,,,0.6600027199782401,,
v15a_unfreeze_domadv_package,v15a_unfreeze_caxton_seed1,stage_a,vit,dinov2_partial,include64_train_only,1.0,46,id_val,0.9872197631659844,0.9699784533439028,0.43031464010999776,,,0.6998897313906234,,
v14b_seqaug_fullinstanorm_package,v14b_seqaug_fullinstanorm_seed1,stage_a,gmu,moco_pretrained,include64_train_only,1.0,77,id_val,0.9521861156911,0.9081162542447722,0.4156315838456343,,,0.673465507756164,,
v13_moco_fusion_package,v13_gmu_moco_pretrained_include64train_seed3,stage_b,gmu,moco_pretrained,include64_train_only,3.0,32,id_val,0.9144150339954691,0.8324529672535097,0.4153680822019612,,,0.8119813776778037,,
v13c_domain_adversarial_package,v13c_gmu_moco_pretrained_seed3,,gmu,moco_pretrained,include64_train_only,3.0,42,id_val,0.9268325082873103,0.8487041310936067,0.4119563644328667,,,0.8324494903570566,,
