version,phase,condition,split_policy,n_runs,train_mean,val_mean,test_mean,test_std,primary_mean,speed_mean,flow_mean,temp_mean,tension_mean,val_test_gap_mean,source_csv,note
v5.3,nature_vs_strict_splits,source=v5.3; condition_name=D_smooth4_05s_mask_phase; split_policy=nature_temporal_split,nature_temporal_split,3.0,,,0.9545218295218296,0.0040593813284337,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_vs_lopo_loco_summary.csv,nature split vs strict LOPO/LOCO comparison
v5.3,nature_temporal_split,condition_name=D_smooth4_05s_mask_phase; feature_config=smooth4_05s_mask_phase; split_policy=nature_temporal_split,nature_temporal_split,3.0,,0.984984984984985,0.9545218295218296,0.0040593813284337,0.9444444444444444,0.9539154539154538,0.9397089397089397,0.9397089397089397,0.9847539847539848,0.0304631554631554,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_summary_by_condition.csv,per-print temporal 70/20/10 split
v5.3,nature_vs_strict_splits,source=v5.3; condition_name=C_raw2_offset_jitter; split_policy=nature_temporal_split,nature_temporal_split,3.0,,,0.9538288288288288,0.0040287650569069,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_vs_lopo_loco_summary.csv,nature split vs strict LOPO/LOCO comparison
v5.3,nature_temporal_split,condition_name=C_raw2_offset_jitter; feature_config=raw2; split_policy=nature_temporal_split,nature_temporal_split,3.0,,0.9906156156156156,0.9538288288288288,0.0040287650569069,0.941787941787942,0.9466389466389468,0.93970893970894,0.939015939015939,0.98995148995149,0.0367867867867867,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_summary_by_condition.csv,per-print temporal 70/20/10 split
v5.3,nature_vs_strict_splits,source=v5.3; condition_name=A_raw4_baseline; split_policy=nature_temporal_split,nature_temporal_split,3.0,,,0.952875952875953,0.0034606695002491,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_vs_lopo_loco_summary.csv,nature split vs strict LOPO/LOCO comparison
v5.3,nature_temporal_split,condition_name=A_raw4_baseline; feature_config=raw4; split_policy=nature_temporal_split,nature_temporal_split,3.0,,0.9850684017350684,0.952875952875953,0.0034606695002491,0.9422499422499424,0.946985446985447,0.941787941787942,0.937976437976438,0.9847539847539848,0.0321924488591155,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_summary_by_condition.csv,per-print temporal 70/20/10 split
v5.3,nature_vs_strict_splits,source=v5.3; condition_name=B_raw2_simple; split_policy=nature_temporal_split,nature_temporal_split,3.0,,,0.9504504504504506,0.0018799839236149,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_vs_lopo_loco_summary.csv,nature split vs strict LOPO/LOCO comparison
v5.3,nature_temporal_split,condition_name=B_raw2_simple; feature_config=raw2; split_policy=nature_temporal_split,nature_temporal_split,3.0,,0.9879462796129462,0.9504504504504506,0.0018799839236149,0.9376299376299376,0.9414414414414416,0.936936936936937,0.9345114345114346,0.988911988911989,0.0374958291624958,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_summary_by_condition.csv,per-print temporal 70/20/10 split
v2,piece_cv,config_group=fusion_m4_1s,,3.0,,,0.7986658034089932,0.0764849745111245,0.774952111404049,0.8148292317605907,0.7665574405696143,0.7434696618819417,0.8698068794238258,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,piece_cv,config_group=trial_multimodal_1s,,3.0,,,0.7671317585849126,0.0829466937220766,0.7501754629996616,0.7981967367426357,0.7187208598920592,0.7336087923642899,0.8180006453406651,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,piece_cv,config_group=sample_m2_0p5s,,3.0,,,0.7635598526558732,0.0732635393159732,0.7459879276840103,0.7947020972391696,0.7172675289396677,0.7259941568731936,0.8162756275714619,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,sampling_gap_ablation,sample_gap_s=0.5,,,,,0.7635598526558732,0.0732635393159732,0.7459879276840103,0.7947020972391696,0.7172675289396677,0.7259941568731936,0.8162756275714619,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\sampling_ablation_m2.csv,m2 sampling gap ablation
v2,piece_cv,config_group=fusion_m1_1s,,3.0,,,0.757651216846754,0.083934924740722,0.7365483881251681,0.7955948154974042,0.6983080952117927,0.7157422536663072,0.8209597030115118,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,piece_cv,config_group=sample_m2_1s,,3.0,,,0.7539035252004328,0.075031791557367,0.7379513232194775,0.7957304883222024,0.7013132672447385,0.7168102140914918,0.8017601311432984,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,sampling_gap_ablation,sample_gap_s=1.0,,,,,0.7539035252004328,0.075031791557367,0.7379513232194775,0.7957304883222024,0.7013132672447385,0.7168102140914918,0.8017601311432984,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\sampling_ablation_m2.csv,m2 sampling gap ablation
v2,piece_cv,config_group=sample_m2_2s,,3.0,,,0.7414708259731079,0.0782760507524763,0.7261512887547344,0.791213561713147,0.683399881573476,0.7038404229775801,0.7874294376282283,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,sampling_gap_ablation,sample_gap_s=2.0,,,,,0.7414708259731079,0.0782760507524763,0.7261512887547344,0.791213561713147,0.683399881573476,0.7038404229775801,0.7874294376282283,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\sampling_ablation_m2.csv,m2 sampling gap ablation
v2,piece_cv,config_group=fusion_m3_1s,,3.0,,,0.7359638054587719,0.0713595212214881,0.7218923062088628,0.7757662529689767,0.6969554910469401,0.6929551746106717,0.7781783032084988,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v5.3,modality_ablation,condition_name=E_image_only_raw4; modality=image_only; split_policy=nature_temporal_split,nature_temporal_split,,,0.7381131131131131,0.7253118503118503,,,,,,,0.0128012628012628,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_modality_ablation_inventory.csv,v5.3 per-run modality ablation
